k,coherence_cv,perplexity,log_perplexity
4,0.295,138.05,-7.109
5,0.2981,136.86,-7.0966
6,0.3415,136.86,-7.0966
7,0.3409,138.38,-7.1124
8,0.3388,140.84,-7.1379
9,0.3956,141.6,-7.1456
10,0.4169,142.23,-7.1521
12,0.3857,142.79,-7.1577
