i,singular_value,energy_ratio,cum_energy
1,2.810065234091681,0.03681082972520579,0.03681082972520579
2,2.138857497446627,0.021325857537000316,0.0581366872622061
3,1.7914470075588074,0.014960659362013445,0.07309734662421954
4,1.656609023927217,0.012793307781488449,0.085890654405708
5,1.6449573212916069,0.01261397808059961,0.09850463248630761
6,1.5923730645480214,0.01182040748731463,0.11032503997362225
7,1.544431011451644,0.011119360988008814,0.12144440096163106
8,1.5345128131865065,0.0109770044710114,0.13242140543264247
9,1.5278747741785974,0.010882240607448315,0.14330364604009077
10,1.5095143823050825,0.010622269438312577,0.15392591547840334
11,1.4966325718097626,0.010441747530008592,0.16436766300841193
12,1.4784639385541223,0.010189767501994705,0.17455743051040662
13,1.465862338068987,0.010016804010105643,0.18457423452051228
14,1.4517627511880953,0.009825034889948616,0.1943992694104609
15,1.431501576608858,0.009552707150980012,0.20395197656144093
16,1.4134213428639122,0.009312924726160533,0.21326490128760145
17,1.3720906268303976,0.008776238114847587,0.22204113940244902
18,1.3599552831919908,0.008621683180597464,0.2306628225830465
19,1.3468123088365076,0.008455843889982289,0.23911866647302876
20,1.3414913076000334,0.008389160989958358,0.24750782746298713
21,1.3358338995509391,0.008318551766747142,0.2558263792297343
22,1.3227498536206646,0.008156394950385476,0.2639827741801198
23,1.3120960056182613,0.008025535674450673,0.2720083098545705
24,1.3060431468002482,0.007951660916268838,0.2799599707708393
25,1.2890731622507303,0.007746364637790194,0.2877063354086295
26,1.280020511880959,0.007637947362127861,0.2953442827707573
27,1.2704889430728843,0.007524620170130206,0.30286890294088753
28,1.265499267721813,0.007465632353349127,0.3103345352942366
29,1.2475398364332284,0.007255237733833054,0.3175897730280697
30,1.2408573098066635,0.007177719620292158,0.3247674926483618
31,1.2351505581570479,0.007111850206832655,0.3318793428551945
32,1.2244275860153948,0.006988903017255004,0.33886824587244946
33,1.219876470051321,0.00693704499701659,0.3458052908694661
34,1.2192867564098893,0.0069303395946901025,0.3527356304641562
35,1.1983350720553931,0.006694210167457003,0.3594298406316132
36,1.1938611358113236,0.006644318342348656,0.36607415897396184
37,1.188130396644108,0.0065806836925705135,0.37265484266653237
38,1.184576346191513,0.006541373021659821,0.37919621568819223
39,1.1742661686290021,0.006428000477053926,0.38562421616524617
40,1.1716711510594604,0.00639962131881765,0.3920238374840638
41,1.166626264680608,0.006344630024463906,0.3983684675085277
42,1.1603580155709148,0.006276634159939954,0.4046451016684677
43,1.1557698197119401,0.006227095155176331,0.410872196823644
44,1.1528433207060031,0.006195600101921235,0.4170677969255652
45,1.1483805627944639,0.006147725518925607,0.42321552244449084
46,1.1448391121207129,0.006109866473525453,0.42932538891801625
47,1.136444778182271,0.00602059588898674,0.435345984807003
48,1.1345689277751931,0.006000736734239773,0.4413467215412427
49,1.131976893352873,0.005973349506651959,0.44732007104789473
50,1.1280978341909704,0.005932480695444346,0.45325255174333906
51,1.124723185026012,0.005897040335689534,0.4591495920790286
52,1.1176894347104527,0.00582351360102286,0.46497310568005146
53,1.1154739805008145,0.005800450054761123,0.47077355573481255
54,1.1136943611085646,0.005781956823569991,0.4765555125583826
55,1.1093208591699073,0.005736634250025173,0.4822921468084077
56,1.0972673792582397,0.005612647136313118,0.48790479394472086
57,1.0937023127922194,0.005576234946006633,0.4934810288907275
58,1.0896368635260107,0.0055348566543818615,0.4990158855451093
59,1.0873781209185127,0.0055119336801968755,0.5045278192253062
60,1.083720967721724,0.00547491971596022,0.5100027389412664
61,1.0818883509829536,0.0054564187432145595,0.5154591576844809
62,1.0798002192466132,0.005435376413414157,0.5208945340978951
63,1.077455055902766,0.005411792414848372,0.5263063265127434
64,1.0676263299245519,0.005313508192827047,0.5316198347055705
65,1.0660118954832511,0.005297450468414281,0.5369172851739847
66,1.0625234578535787,0.005262836241749531,0.5421801214157344
67,1.0619323583444449,0.005256982263497002,0.5474371036792313
68,1.0575106125357396,0.005213294651053418,0.5526503983302847
69,1.055434871715799,0.005192848845755528,0.5578432471760403
70,1.0472618652792758,0.0051127361613047696,0.5629559833373451
71,1.0457786146507362,0.005098263947443123,0.5680542472847881
72,1.041668800328093,0.0050582712637667745,0.5731125185485549
73,1.0385946410543214,0.005028459511445679,0.5781409780600006
74,1.0327763591216954,0.004972277736429912,0.5831132557964306
75,1.0272998698718039,0.004919684689356443,0.588032940485787
76,1.0250574322283255,0.004898230300446542,0.5929311707862335
77,1.0224368140277107,0.004873217101015862,0.5978043878872494
78,1.0191020346958442,0.0048414799781925835,0.6026458678654419
79,1.0157871566648817,0.004810035012792569,0.6074559028782346
80,1.0140155693995647,0.004793271725656885,0.6122491746038915
81,1.0099793192681674,0.004755188801626544,0.6170043634055181
82,1.0063549602781254,0.004721121593474506,0.6217254849989926
83,1.0026682786012784,0.0046865942310366565,0.6264120792300292
84,0.9990111008769661,0.004652468388390952,0.6310645476184201
85,0.9943040454116494,0.0046087294653535575,0.6356732770837737
86,0.9902873615716395,0.004571568964535322,0.6402448460483091
87,0.9877610277776419,0.004548273549841101,0.6447931195981503
88,0.9856784423334998,0.004529114699648655,0.649322234297799
89,0.9823926763557922,0.004498969357366564,0.6538212036551655
90,0.9811058884181235,0.004487191118108397,0.6583083947732739
