k,topic_hit,overlap_tfidf
10,0.2623,0.4118
20,0.2659,0.5127
30,0.28,0.5923
50,0.2764,0.7064
80,0.2864,0.8073
120,0.2868,0.8723
160,0.2836,0.8955
200,0.29,0.9518
