word,df,intra_full,intra_ablated,drop,drop_pct
万亿,4,0.3702,0.3306,0.0396,10.7
千问,8,0.3188,0.241,0.0778,24.4
Plus,10,0.2961,0.2739,0.0221,7.5
组织,9,0.2857,0.2759,0.0097,3.4
